id,user_id,url,risk_score,status,reasons,scanned_at
3,1,https://www.google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 04:44:26"
4,1,https://github.com@evil-login-check.top/reset,50,Dangerous,"[""Suspicious keyword(s) detected: login, reset (+15)"",""URL contains @ symbol which may hide the real domain (+20)"",""Suspicious top-level domain detected (+15)""]","2026-03-09 04:50:53"
5,1,http://faceb00k-security-alert.com/login/verify(shouldbedangerous),80,Dangerous,"[""URL does not use HTTPS (+20)"",""Suspicious keyword(s) detected: login, verify (+15)"",""URL contains login-related path commonly used in phishing pages (+15)"",""Possible brand impersonation detected (+30)""]","2026-03-09 04:52:42"
6,1,http://faceb00k-security-alert.com/login/verify(shouldbedangerous),80,Dangerous,"[""URL does not use HTTPS (+20)"",""Suspicious keyword(s) detected: login, verify (+15)"",""URL contains login-related path commonly used in phishing pages (+15)"",""Possible brand impersonation detected (+30)""]","2026-03-09 04:57:45"
7,1,http://faceb00k-security-alert.com/login/verify(shouldbedangerous),80,Dangerous,"[""URL does not use HTTPS (+20)"",""Suspicious keyword(s) detected: login, verify (+15)"",""URL contains login-related path commonly used in phishing pages (+15)"",""Possible brand impersonation detected (+30)""]","2026-03-09 04:58:26"
8,2,https://www.google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 04:58:52"
9,2,http://faceb00k-security-alert.com/login/verify(shouldbedangerous),80,Dangerous,"[""URL does not use HTTPS (+20)"",""Suspicious keyword(s) detected: login, verify (+15)"",""URL contains login-related path commonly used in phishing pages (+15)"",""Possible brand impersonation detected (+30)""]","2026-03-09 05:01:17"
10,1,http://instagrarn-verification.com,50,Dangerous,"[""URL does not use HTTPS (+20)"",""Possible brand impersonation detected (+30)""]","2026-03-09 05:01:34"
11,1,http://instagrarn-verification.com,50,Dangerous,"[""URL does not use HTTPS (+20)"",""Possible brand impersonation detected (+30)""]","2026-03-09 05:18:20"
12,1,http://instagrarn-verification.com,50,Dangerous,"[""URL does not use HTTPS (+20)"",""Possible brand impersonation detected (+30)""]","2026-03-09 05:18:28"
13,1,http://faceb00k-security-alert.com/login/verify(shouldbedangerous),80,Dangerous,"[""URL does not use HTTPS (+20)"",""Suspicious keyword(s) detected: login, verify (+15)"",""URL contains login-related path commonly used in phishing pages (+15)"",""Possible brand impersonation detected (+30)""]","2026-03-09 05:29:43"
14,1,https://github.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 05:37:12"
15,1,https://github.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 05:39:05"
16,1,http://instagrarn-verification.com,50,Dangerous,"[""URL does not use HTTPS (+20)"",""Possible brand impersonation detected (+30)""]","2026-03-09 05:39:15"
17,1,https://www.facebook.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 05:42:19"
18,1,https://www.google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 05:46:25"
19,1,https://www.google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 05:47:00"
20,1,https://www.google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 05:49:46"
21,1,https://www.google.com,0,Safe,"[""No suspicious indicators triggered.""]","2026-03-09 05:50:29"
22,1,https://secure-account-check.top/login,45,Suspicious,"[""Suspicious keyword(s) detected: login, secure, account (+15)"",""URL contains login-related path commonly used in phishing pages (+15)"",""Suspicious top-level domain detected (+15)""]","2026-03-09 05:50:59"
